block,total_hr,ID_NCBA_BLOCK,ID_BLOCK_CODE,PRIORITY_BLOCK
EAST_LAKE_SE-SE,6.5,EAST_LAKE_SE-SE,35075G7SE,1
EAST_LAKE_SE-SW,17.1,EAST_LAKE_SE-SW,35075G7SW,0
EAST_LAKE-NE,0.0,EAST_LAKE-NE,35075H8NE,0
EAST_LAKE-SE,3.9,EAST_LAKE-SE,35075H8SE,1
EAST_LAKE-SW,3.8,EAST_LAKE-SW,35075H8SW,0
EASTATOE_GAP-CE,3.9,EASTATOE_GAP-CE,35082A7CE,0
EASTATOE_GAP-NE,19.5,EASTATOE_GAP-NE,35082A7NE,0
EASTATOE_GAP-NW,0.3,EASTATOE_GAP-NW,35082A7NW,1
EDENHOUSE-CE,73.3,EDENHOUSE-CE,36076A6CE,0
EDENHOUSE-CW,8.0,EDENHOUSE-CW,36076A6CW,1
EDENHOUSE-NE,0.1,EDENHOUSE-NE,36076A6NE,0
EDENHOUSE-SW,0.3,EDENHOUSE-SW,36076A6SW,0
EDENTON-CE,0.8,EDENTON-CE,36076A5CE,0
EDENTON-CW,36.4,EDENTON-CW,36076A5CW,0
EDENTON-NE,0.1,EDENTON-NE,36076A5NE,0
EDENTON-NW,0.0,EDENTON-NW,36076A5NW,0
EDENTON-SE,6.3,EDENTON-SE,36076A5SE,1
EDENTON-SW,0.6,EDENTON-SW,36076A5SW,0
EDMONDSON-CE,33.1,EDMONDSON-CE,35078E5CE,0
EDMONDSON-CW,0.0,EDMONDSON-CW,35078E5CW,0
EDMONDSON-NE,4.4,EDMONDSON-NE,35078E5NE,0
EDMONDSON-NW,13.6,EDMONDSON-NW,35078E5NW,0
EDMONDSON-SE,3.2,EDMONDSON-SE,35078E5SE,1
EDWARD-CE,3.9,EDWARD-CE,35076C8CE,0
EDWARD-CW,10.2,EDWARD-CW,35076C8CW,0
EDWARD-NE,0.0,EDWARD-NE,35076C8NE,0
EDWARD-NW,0.7,EDWARD-NW,35076C8NW,0
EDWARD-SE,10.1,EDWARD-SE,35076C8SE,1
EDWARD-SW,38.9,EDWARD-SW,35076C8SW,0
EFLAND-CE,124.4,EFLAND-CE,36079A2CE,0
EFLAND-CW,1.1,EFLAND-CW,36079A2CW,0
EFLAND-NE,0.9,EFLAND-NE,36079A2NE,0
EFLAND-NW,3.8,EFLAND-NW,36079A2NW,0
EFLAND-SE,55.5,EFLAND-SE,36079A2SE,1
EFLAND-SW,104.2,EFLAND-SW,36079A2SW,0
ELEAZER-CE,0.0,ELEAZER-CE,35079E8CE,0
ELEAZER-CW,19.6,ELEAZER-CW,35079E8CW,0
ELEAZER-NW,17.7,ELEAZER-NW,35079E8NW,0
ELEAZER-SW,0.0,ELEAZER-SW,35079E8SW,0
ELIZABETH_CITY-CE,1.5,ELIZABETH_CITY-CE,36076C2CE,0
ELIZABETH_CITY-CW,15.2,ELIZABETH_CITY-CW,36076C2CW,0
ELIZABETH_CITY-NE,0.6,ELIZABETH_CITY-NE,36076C2NE,0
ELIZABETH_CITY-NW,13.3,ELIZABETH_CITY-NW,36076C2NW,0
ELIZABETH_CITY-SE,1.5,ELIZABETH_CITY-SE,36076C2SE,1
ELIZABETH_CITY-SW,4.9,ELIZABETH_CITY-SW,36076C2SW,0
ELIZABETHTOWN_NORTH-CW,14.0,ELIZABETHTOWN_NORTH-CW,34078F5CW,0
ELIZABETHTOWN_NORTH-NW,0.0,ELIZABETHTOWN_NORTH-NW,34078F5NW,0
ELIZABETHTOWN_NORTH-SW,1.7,ELIZABETHTOWN_NORTH-SW,34078F5SW,0
AURORA-SW,1.1,ELIZABETHTOWN_SOUTH-CW,34078E5CW,0
ELIZABETHTOWN_SOUTH-NE,0.4,ELIZABETHTOWN_SOUTH-NE,34078E5NE,0
ELIZABETHTOWN_SOUTH-NW,0.0,ELIZABETHTOWN_SOUTH-NW,34078E5NW,0
ELIZABETHTOWN_SOUTH-SE,0.0,ELIZABETHTOWN_SOUTH-SE,34078E5SE,1
ELK_MILLS-CE,1.2,ELK_MILLS-CE,36081C8CE,0
ELK_MILLS-SE,0.0,ELK_MILLS-SE,36081C8SE,0
ELK_PARK-CE,34.7,ELK_PARK-CE,36081B8CE,0
ELK_PARK-CW,13.0,ELK_PARK-CW,36081B8CW,0
ELK_PARK-NE,7.9,ELK_PARK-NE,36081B8NE,0
ELK_PARK-SE,57.6,ELK_PARK-SE,36081B8SE,1
